,text_index,text_id,keyword,position,position_pct
34662,4297,4297,ai,208,60.46511627906976
34663,4297,4297,ai,229,66.56976744186046
34664,4297,4297,ai,324,94.18604651162791
34665,4297,4297,ai,327,95.05813953488372
34666,4297,4297,ai,330,95.93023255813954
34667,4298,4298,ai,151,18.757763975155278
34668,4298,4298,ai,151,18.757763975155278
34669,4298,4298,ai,331,41.11801242236025
34670,4298,4298,ai,392,48.69565217391305
34671,4298,4298,ai,449,55.776397515527954
34672,4298,4298,ai,493,61.24223602484472
34673,4298,4298,ai,564,70.06211180124224
34674,4298,4298,ai,742,92.17391304347827
34675,4298,4298,ai,757,94.03726708074535
34676,4298,4298,ai,758,94.16149068322981
34677,4299,4299,ai,399,50.18867924528302
34678,4299,4299,ai,573,72.0754716981132
34679,4299,4299,ai,737,92.70440251572327
34680,4300,4300,ml,38,4.804045512010114
34681,4300,4300,ai,143,18.078381795195956
34682,4300,4300,ai,148,18.710493046776232
34683,4300,4300,ai,256,32.364096080910244
34684,4300,4300,ai,264,33.37547408343868
34685,4300,4300,ai,272,34.38685208596713
34686,4300,4300,ai,327,41.340075853350186
34687,4300,4300,ai,414,52.338811630847026
34688,4300,4300,ai,504,63.716814159292035
34689,4300,4300,ai,510,64.47534766118837
34690,4300,4300,ai,515,65.10745891276865
34691,4300,4300,ai,557,70.41719342604299
34692,4300,4300,ai,618,78.12895069532237
34693,4300,4300,ai,644,81.41592920353983
34694,4300,4300,ai,646,81.66877370417194
34695,4300,4300,ai,662,83.69152970922883
34696,4301,4301,ai,208,26.977950713359274
34697,4301,4301,ai,382,49.54604409857328
34698,4301,4301,ai,533,69.13099870298313
34699,4301,4301,ai,546,70.8171206225681
34700,4301,4301,ai,703,91.18028534370947
34701,4301,4301,ml,705,91.43968871595331
34702,4302,4302,ai,242,58.595641646489106
34703,4302,4302,ai,264,63.922518159806295
34704,4302,4302,ai,286,69.24939467312349
34705,4302,4302,ai,303,73.36561743341404
34706,4303,4303,ai,208,26.19647355163728
34707,4303,4303,ai,382,48.11083123425693
34708,4303,4303,ai,526,66.24685138539043
34709,4303,4303,ai,548,69.0176322418136
34710,4303,4303,ai,752,94.7103274559194
34711,4303,4303,ai,765,96.34760705289672
34712,4304,4304,ai,33,4.10958904109589
34713,4304,4304,ai,38,4.732254047322541
34714,4304,4304,ai,255,31.755915317559154
34715,4304,4304,ai,429,53.42465753424658
34716,4304,4304,ai,592,73.72353673723536
34717,4304,4304,ai,765,95.26774595267746
34718,4304,4304,ai,779,97.01120797011208
34719,4305,4305,ai,3,0.3811944091486658
34720,4305,4305,ai,329,41.80432020330368
34721,4305,4305,ai,383,48.66581956797967
34722,4305,4305,ai,385,48.91994917407878
34723,4305,4305,ai,507,64.42185514612451
34724,4305,4305,ai,516,65.56543837357052
34725,4306,4306,ai,77,10.225763612217795
34726,4306,4306,ai,105,13.94422310756972
34727,4306,4306,ai,199,26.42762284196547
