,Founded Date,Industry Groups,Number of Funding Rounds,Last Funding Amount Currency (in USD),Total Funding Amount Currency (in USD),age,founding_year,source_x,text_len,closest_snapshot,ai_keyword_count,matched_keywords,Headquarters State,funding_bin,keyword_bin,fund_success,AI_bin,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Last Funding Type ORD,Series_A_bin,Number of Employees ORD
2928,2019-01-01,Financial Services,0.0,0.0,0.0,5,2019,0,14792.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221126221117/https://www.upliftinsurancegroup.com/', 'timestamp': '20221126221117'}",0.0,0,Georgia,False,False,False,False,False,True,False,False,False,0.0,False,1.0
2929,2022-02-01,"Administrative Services, Real Estate",0.0,0.0,0.0,2,2022,0,3122.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221126184317/https://empiremaintenance.com/', 'timestamp': '20221126184317'}",0.0,0,New York,False,False,False,False,False,False,False,False,True,0.0,False,6.0
2930,2020-01-01,"Health Care, Sports",0.0,0.0,0.0,4,2020,0,35767.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210219201557/https://candascent.com/', 'timestamp': '20210219201557'}",0.0,0,California,False,False,False,False,False,False,True,False,False,0.0,False,1.0
2933,2020-01-01,"Financial Services, Real Estate",0.0,0.0,0.0,4,2020,0,2424.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210505142018/https://www.likewise.partners/', 'timestamp': '20210505142018'}",0.0,0,Minnesota,False,False,False,False,False,False,True,False,False,0.0,False,1.0
2934,2020-01-01,"Food and Beverage, Health Care",0.0,0.0,0.0,4,2020,0,15208.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210306134149/https://moderngrindcoffee.com/', 'timestamp': '20210306134149'}",0.0,0,Arizona,False,False,False,False,False,False,True,False,False,0.0,False,1.0
2935,2020-01-01,"Design, Other, Real Estate",0.0,0.0,0.0,4,2020,0,10308.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210322165323/https://wdscom.com/', 'timestamp': '20210322165323'}",0.0,0,Arizona,False,False,False,False,False,False,True,False,False,0.0,False,1.0
2937,2018-09-01,Financial Services,1.0,0.0,0.0,5,2018,0,3642.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200327185848/https://www.roundhillinvestments.com/', 'timestamp': '20200327185848'}",0.0,0,New York,False,False,False,False,True,False,False,False,False,2.0,False,1.0
2938,2020-01-01,"Professional Services, Real Estate",0.0,0.0,0.0,4,2020,0,13543.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211226012818/https://bridgepropertyadvisors.com/', 'timestamp': '20211226012818'}",0.0,0,New York,False,False,False,False,False,False,True,False,False,0.0,False,1.0
2939,2022-01-01,"Financial Services, Real Estate",0.0,0.0,0.0,2,2022,0,7839.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221213193816/https://steerpointcapital.com/', 'timestamp': '20221213193816'}",0.0,0,California,False,False,False,False,False,False,False,False,True,0.0,False,1.0
2942,2019-01-01,"Administrative Services, Professional Services",0.0,0.0,0.0,5,2019,0,10995.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201030013716/https://g12staffing.com/', 'timestamp': '20201030013716'}",0.0,0,Illinois,False,False,False,False,False,True,False,False,False,0.0,False,2.0
2946,2020-01-01,"Administrative Services, Transportation",0.0,0.0,0.0,4,2020,0,4759.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220417000550/https://www.teamzena.com/', 'timestamp': '20220417000550'}",0.0,0,New York,False,False,False,False,False,False,True,False,False,0.0,False,3.0
2947,2020-01-01,"Design, Hardware, Manufacturing, Science and Engineering, Transportation",0.0,0.0,0.0,4,2020,0,46616.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210927075237/https://www.ameriflo-usa.com/', 'timestamp': '20210927075237'}",0.0,0,Tennessee,False,False,False,False,False,False,True,False,False,0.0,False,2.0
2950,2021-01-01,"Financial Services, Internet Services",1.0,0.0,0.0,3,2021,0,1192.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211216010843/https://www.dombeleventures.com/trydirtapp', 'timestamp': '20211216010843'}",0.0,0,Illinois,False,False,False,False,False,False,False,True,False,1.0,False,1.0
2952,2019-11-01,Consumer Goods,0.0,0.0,0.0,4,2019,0,15026.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20191220064409/https://www.neocurly.com/', 'timestamp': '20191220064409'}",0.0,0,Texas,False,False,False,False,False,True,False,False,False,0.0,False,1.0
2956,2019-01-01,"Data and Analytics, Design, Hardware, Information Technology, Software",0.0,0.0,0.0,5,2019,0,8207.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220406152153/https://www.poppilab.com/', 'timestamp': '20220406152153'}",0.0,0,Florida,False,False,False,False,False,True,False,False,False,0.0,False,1.0
2958,2019-01-20,"Apps, Design, Information Technology, Mobile, Professional Services, Software",0.0,0.0,0.0,5,2019,0,4255.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220331101249/https://techyardsolutions.com/', 'timestamp': '20220331101249'}",4.0,"data mining, ai",Florida,False,True,False,False,False,True,False,False,False,0.0,False,2.0
2960,2020-01-01,Transportation,0.0,0.0,0.0,4,2020,0,17412.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201222164219/https://www.raytheonmissilesanddefense.com/', 'timestamp': '20201222164219'}",0.0,0,Arizona,False,False,False,False,False,False,True,False,False,0.0,False,8.0
2961,2022-01-01,"Data and Analytics, Design",0.0,0.0,0.0,2,2022,0,46262.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20230113111121/https://lumanity.com/', 'timestamp': '20230113111121'}",0.0,0,New York,False,False,False,False,False,False,False,False,True,0.0,False,7.0
2963,2020-01-01,"Internet Services, Sales and Marketing, Software",0.0,0.0,0.0,4,2020,0,13346.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220309213737/http://fusionnow.io/', 'timestamp': '20220309213737'}",0.0,0,Missouri,False,False,False,False,False,False,True,False,False,0.0,False,2.0
2966,2020-01-01,"Data and Analytics, Information Technology, Software",0.0,0.0,0.0,4,2020,0,14834.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220226073446/https://linxcentric.com/', 'timestamp': '20220226073446'}",0.0,0,Colorado,False,False,False,False,False,False,True,False,False,0.0,False,2.0
2968,2022-09-18,"Administrative Services, Apps, Commerce and Shopping, Financial Services, Food and Beverage, Information Technology, Other, Payments, Real Estate, Software, Transportation",1.0,65000.0,65000.0,1,2022,0,115.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20221027090747/https://hero-jo.com/', 'timestamp': '20221027090747'}",0.0,0,Delaware,True,False,False,False,False,False,False,False,True,1.0,False,2.0
